;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM
03/06/2020;0;0;0;0;0;0;2,1;2,505;2,65;2,89;3,65;4,265;4,65;4,89;4,475;4,125;4,025;3,925;3,975;4,075;4,175;4,46;4,74;5,17;5,595;5,525;5,45;4,975;4,65;4,555;4,53;4,575;4,7;5,125;5,4;5,82;5,945;5,92;5,75;5,175;4,95;4,73;4,73;4,775;4,975;5,15;5,575;5,92;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/06/2020;0;0;0;0;0;0;2,07;2,49;2,64;2,925;3,7;4,275;4,675;4,875;4,515;4,15;4,05;3,95;4;4,1;4,2;4,505;4,785;5,235;5,645;5,57;5,495;4,995;4,665;4,565;4,54;4,59;4,715;5,145;5,42;5,845;5,98;5,955;5,775;5,2;4,975;4,745;4,745;4,8;5;5,175;5,6;5,955;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/06/2020;0;0;0;0;0;0;2,07;2,55;2,75;3,05;3,85;4,415;4,815;5,015;4,64;4,28;4,175;4,07;4,12;4,225;4,33;4,525;4,8;5,22;5,715;5,665;5,59;5,08;4,75;4,65;4,625;4,675;4,8;5,235;5,515;5,945;6,06;6,035;5,855;5,275;5,045;4,815;4,815;4,87;5,07;5,25;5,68;6,035;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/06/2020;0;0;0;0;0;0;2,07;2,55;2,75;3,05;3,85;4,415;4,815;5,015;4,64;4,28;4,175;4,07;4,12;4,225;4,33;4,525;4,8;5,22;5,715;5,665;5,59;5,08;4,75;4,65;4,625;4,675;4,8;5,235;5,515;5,945;6,06;6,035;5,855;5,275;5,045;4,815;4,815;4,87;5,07;5,25;5,68;6,035;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/06/2020;0;0;0;0;0;0;2,07;2,55;2,75;3,05;3,85;4,415;4,815;5,015;4,64;4,28;4,175;4,07;4,12;4,225;4,33;4,525;4,8;5,22;5,715;5,665;5,59;5,08;4,75;4,65;4,625;4,675;4,8;5,235;5,515;5,945;6,06;6,035;5,855;5,275;5,045;4,815;4,815;4,87;5,07;5,25;5,68;6,035;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/06/2020;0;0;0;0;0;0;2,07;2,415;2,625;2,95;3,75;4,315;4,715;4,915;4,525;4,175;4,075;3,975;4,1;4,2;4,3;4,49;4,76;5,175;5,65;5,6;5,55;5,1;4,775;4,675;4,625;4,675;4,8;5,225;5,5;5,925;6,025;6;5,8;5,25;5,025;4,8;4,8;4,85;5,05;5,225;5,65;6,025;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
09/06/2020;0;0;0;0;0;0;2,06;2,325;2,525;2,89;3,675;4,225;4,64;4,825;4,465;4,15;4,05;3,95;4;4,1;4,2;4,385;4,69;5,075;5,46;5,435;5,41;5,065;4,74;4,645;4,595;4,645;4,765;5,21;5,485;5,905;5,995;5,97;5,775;5,225;5;4,78;4,78;4,825;5,025;5,2;5,625;5,995;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/06/2020;0;0;0;0;0;0;2,07;2,275;2,5;2,875;3,69;4,24;4,65;4,825;4,5;4,175;4,075;3,975;4,025;4,125;4,225;4,575;4,885;5,265;5,52;5,495;5,47;5,12;4,79;4,69;4,64;4,69;4,815;5,245;5,52;5,945;5,995;5,97;5,775;5,225;5;4,78;4,78;4,825;5,025;5,2;5,625;5,995;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/06/2020;0;0;0;0;0;0;2,07;2,275;2,5;2,865;3,665;4,225;4,64;4,825;4,49;4,175;4,075;3,975;4,025;4,125;4,225;4,57;4,87;5,265;5,545;5,52;5,495;5,145;4,815;4,715;4,665;4,715;4,845;5,27;5,545;5,97;6;5,975;5,775;5,225;5;4,775;4,775;4,825;5,025;5,2;5,625;6;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/06/2020;0;0;0;0;0;0;2,065;2,275;2,5;2,9;3,675;4,24;4,62;4,8;4,45;4,15;4,05;3,95;4;4,1;4,2;4,455;4,75;5,14;5,485;5,46;5,46;5,09;4,74;4,645;4,62;4,67;4,79;5,24;5,51;5,935;5,945;5,92;5,72;5,175;4,955;4,73;4,73;4,78;4,98;5,15;5,57;5,945;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/06/2020;0;0;0;0;0;0;2,065;2,275;2,5;2,9;3,675;4,24;4,62;4,8;4,45;4,15;4,05;3,95;4;4,1;4,2;4,455;4,75;5,14;5,485;5,46;5,46;5,09;4,74;4,645;4,62;4,67;4,79;5,24;5,51;5,935;5,945;5,92;5,72;5,175;4,955;4,73;4,73;4,78;4,98;5,15;5,57;5,945;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/06/2020;0;0;0;0;0;0;2,065;2,275;2,5;2,9;3,675;4,24;4,62;4,8;4,45;4,15;4,05;3,95;4;4,1;4,2;4,455;4,75;5,14;5,485;5,46;5,46;5,09;4,74;4,645;4,62;4,67;4,79;5,24;5,51;5,935;5,945;5,92;5,72;5,175;4,955;4,73;4,73;4,78;4,98;5,15;5,57;5,945;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/06/2020;0;0;0;0;0;0;2,063;2,265;2,49;2,9;3,625;4,2;4,6;4,775;4,425;4,125;4,025;3,925;3,975;4,075;4,175;4,505;4,8;5,175;5,445;5,42;5,395;5,025;4,705;4,605;4,58;4,63;4,755;5,225;5,495;5,915;5,945;5,895;5,675;5,15;4,925;4,705;4,705;4,75;4,95;5,125;5,55;5,92;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/06/2020;0;0;0;0;0;0;2,063;2,25;2,5;2,915;3,6;4,215;4,6;4,775;4,44;4,15;4,09;3,985;4,025;4,125;4,225;4,57;4,875;5,255;5,515;5,515;5,415;5,04;4,715;4,615;4,59;4,64;4,765;5,24;5,515;5,94;6,005;5,955;5,73;5,2;4,97;4,745;4,745;4,795;4,995;5,175;5,605;5,98;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/06/2020;0;0;0;0;0;0;2,063;2,2;2,49;2,9;3,6;4,225;4,625;4,8;4,44;4,15;4,085;3,96;4,025;4,125;4,225;4,575;4,875;5,25;5,51;5,51;5,41;5,06;4,735;4,635;4,61;4,66;4,785;5,26;5,535;5,96;6;5,95;5,725;5,2;4,975;4,75;4,75;4,8;5;5,175;5,6;5,975;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/06/2020;0;0;0;0;0;0;2,063;2,2;2,5;2,94;3,64;4,2;4,625;4,8;4,44;4,15;4,095;3,97;4,03;4,16;4,26;4,595;4,9;5,28;5,53;5,53;5,43;5,08;4,75;4,65;4,625;4,675;4,8;5,255;5,53;5,96;6,03;5,98;5,75;5,225;5;4,77;4,77;4,825;5,025;5,2;5,625;6,005;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/06/2020;0;0;0;0;0;0;2,063;2,22;2,575;3,015;3,705;4,3;4,715;4,89;4,525;4,225;4,17;4,04;4,065;4,215;4,32;4,645;4,95;5,33;5,595;5,595;5,495;5,14;4,81;4,71;4,685;4,735;4,86;5,315;5,595;6,025;6,07;6,02;5,795;5,245;5,02;4,79;4,79;4,84;5,045;5,22;5,645;6,02;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/06/2020;0;0;0;0;0;0;2,063;2,22;2,575;3,015;3,705;4,3;4,715;4,89;4,525;4,225;4,17;4,04;4,065;4,215;4,32;4,645;4,95;5,33;5,595;5,595;5,495;5,14;4,81;4,71;4,685;4,735;4,86;5,315;5,595;6,025;6,07;6,02;5,795;5,245;5,02;4,79;4,79;4,84;5,045;5,22;5,645;6,02;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/06/2020;0;0;0;0;0;0;2,063;2,22;2,575;3,015;3,705;4,3;4,715;4,89;4,525;4,225;4,17;4,04;4,065;4,215;4,32;4,645;4,95;5,33;5,595;5,595;5,495;5,14;4,81;4,71;4,685;4,735;4,86;5,315;5,595;6,025;6,07;6,02;5,795;5,245;5,02;4,79;4,79;4,84;5,045;5,22;5,645;6,02;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
22/06/2020;0;0;0;0;0;0;2,063;2,25;2,575;3;3,675;4,29;4,675;4,85;4,49;4,15;4,05;3,93;3,98;4,13;4,25;4,625;4,925;5,3;5,595;5,595;5,495;5,145;4,795;4,695;4,67;4,72;4,845;5,295;5,57;5,995;6,105;6,055;5,83;5,23;5,01;4,785;4,785;4,835;5,03;5,205;5,63;6,005;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
23/06/2020;0;0;0;0;0;0;2,063;2,3;2,665;3,115;3,815;4,4;4,815;4,99;4,615;4,225;4,15;4,025;4,04;4,19;4,295;4,67;4,975;5,355;5,65;5,65;5,575;5,195;4,845;4,745;4,72;4,77;4,895;5,325;5,6;6,03;6,18;6,13;5,905;5,275;5,045;4,82;4,82;4,87;5,07;5,25;5,675;6,055;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
24/06/2020;0;0;0;0;0;0;2,063;2,24;2,64;3,05;3,75;4,34;4,75;4,925;4,55;4,15;4,075;3,95;3,96;4,11;4,23;4,63;4,925;5,295;5,61;5,61;5,535;5,14;4,815;4,715;4,69;4,74;4,865;5,285;5,56;5,98;6,12;6,07;5,845;5,225;5,005;4,78;4,78;4,83;5,03;5,2;5,625;5,995;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
25/06/2020;0;0;0;0;0;0;2,063;2,22;2,5;2,915;3,605;4,275;4,665;4,84;4,465;4,075;4;3,875;3,885;4,035;4,155;4,58;4,875;5,245;5,56;5,56;5,485;5,11;4,79;4,69;4,665;4,715;4,84;5,21;5,51;5,93;6,07;6,02;5,795;5,175;4,955;4,73;4,73;4,78;4,98;5,15;5,575;5,945;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/06/2020;0;0;0;0;0;0;2,063;2,2;2,465;2,94;3,635;4,315;4,665;4,84;4,465;4,075;4,01;3,9;3,905;4,05;4,16;4,555;4,85;5,22;5,535;5,535;5,46;5,09;4,79;4,69;4,665;4,715;4,84;5,19;5,485;5,91;6,075;6,025;5,8;5,175;4,95;4,725;4,725;4,775;4,975;5,15;5,575;5,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/06/2020;0;0;0;0;0;0;2,063;2,2;2,465;2,94;3,635;4,315;4,665;4,84;4,465;4,075;4,01;3,9;3,905;4,05;4,16;4,555;4,85;5,22;5,535;5,535;5,46;5,09;4,79;4,69;4,665;4,715;4,84;5,19;5,485;5,91;6,075;6,025;5,8;5,175;4,95;4,725;4,725;4,775;4,975;5,15;5,575;5,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/06/2020;0;0;0;0;0;0;2,063;2,2;2,465;2,94;3,635;4,315;4,665;4,84;4,465;4,075;4,01;3,9;3,905;4,05;4,16;4,555;4,85;5,22;5,535;5,535;5,46;5,09;4,79;4,69;4,665;4,715;4,84;5,19;5,485;5,91;6,075;6,025;5,8;5,175;4,95;4,725;4,725;4,775;4,975;5,15;5,575;5,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
29/06/2020;0;0;0;0;0;0;2,063;2,2;2,55;3,05;3,74;4,4;4,765;4,95;4,565;4,15;4,1;3,975;3,965;4,14;4,195;4,67;4,96;5,34;5,605;5,605;5,53;5,15;4,845;4,745;4,72;4,77;4,895;5,25;5,555;5,98;6,13;6,08;5,855;5,225;4,995;4,77;4,77;4,82;5,02;5,2;5,625;6,005;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
30/06/2020;0;0;0;0;0;0;2,063;2,15;2,55;3,05;3,75;4,375;4,75;4,92;4,54;4,15;4,14;4,01;4,005;4,185;4,26;4,685;4,99;5,37;5,565;5,56;5,465;5,165;4,865;4,765;4,74;4,79;4,915;5,265;5,565;5,99;6,17;6,12;5,895;5,245;5,015;4,79;4,79;4,84;5,045;5,22;5,645;6,02;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
01/07/2020;0;0;0;0;0;0;2,063;2,2;2,525;3,04;3,74;4,35;4,775;4,94;4,525;4,1;4,105;3,98;3,96;4,135;4,205;4,605;4,925;5,295;5,555;5,53;5,455;5,155;4,855;4,755;4,73;4,78;4,905;5,255;5,555;5,975;6,17;6,12;5,895;5,245;5,02;4,795;4,795;4,845;5,045;5,22;5,645;6,02;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/07/2020;0;0;0;0;0;0;0;2,2;2,525;3,04;3,75;4,4;4,765;4,95;4,54;4,15;4,155;4,03;4;4,18;4,255;4,665;4,995;5,375;5,61;5,585;5,505;5,205;4,9;4,8;4,775;4,825;4,95;5,305;5,61;6,035;6,225;6,175;5,95;5,29;5,065;4,84;4,84;4,89;5,09;5,265;5,695;6,075;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/07/2020;0;0;0;0;0;0;0;2,2;2,525;3,04;3,75;4,4;4,765;4,95;4,54;4,15;4,155;4,03;4;4,18;4,255;4,665;4,995;5,375;5,61;5,585;5,505;5,205;4,9;4,8;4,775;4,825;4,95;5,305;5,61;6,035;6,225;6,175;5,95;5,29;5,065;4,84;4,84;4,89;5,09;5,265;5,695;6,075;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/07/2020;0;0;0;0;0;0;0;2,2;2,525;3,04;3,75;4,4;4,765;4,95;4,54;4,15;4,155;4,03;4;4,18;4,255;4,665;4,995;5,375;5,61;5,585;5,505;5,205;4,9;4,8;4,775;4,825;4,95;5,305;5,61;6,035;6,225;6,175;5,95;5,29;5,065;4,84;4,84;4,89;5,09;5,265;5,695;6,075;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/07/2020;0;0;0;0;0;0;0;2,2;2,525;3,04;3,75;4,4;4,765;4,95;4,54;4,15;4,155;4,03;4;4,18;4,255;4,665;4,995;5,375;5,61;5,585;5,505;5,205;4,9;4,8;4,775;4,825;4,95;5,305;5,61;6,035;6,225;6,175;5,95;5,29;5,065;4,84;4,84;4,89;5,09;5,265;5,695;6,075;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/07/2020;0;0;0;0;0;0;0;2,195;2,6;3,19;3,9;4,515;4,915;5,125;4,75;4,275;4,36;4,23;4,17;4,35;4,425;4,795;5,125;5,53;5,78;5,755;5,655;5,32;5,015;4,91;4,885;4,935;5,065;5,425;5,73;6,165;6,36;6,31;6,08;5,415;5,185;4,955;4,955;5,005;5,21;5,39;5,825;6,205;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/07/2020;0;0;0;0;0;0;0;2,195;2,6;3,25;4,025;4,615;4,99;5,165;4,775;4,35;4,35;4,25;4,255;4,435;4,51;4,825;5,15;5,55;5,79;5,765;5,665;5,34;5,04;4,915;4,89;4,94;5,09;5,44;5,74;6,19;6,385;6,335;6,105;5,455;5,2;4,975;4,975;5,025;5,225;5,43;5,855;6,23;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/07/2020;0;0;0;0;0;0;0;2,19;2,64;3,275;4,04;4,65;5,04;5,24;4,85;4,35;4,355;4,28;4,245;4,42;4,52;4,91;5,24;5,675;5,85;5,825;5,725;5,395;5,095;4,965;4,94;4,99;5,145;5,47;5,775;6,225;6,42;6,37;6,145;5,49;5,235;5,01;5,01;5,06;5,26;5,465;5,89;6,27;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
09/07/2020;0;0;0;0;0;0;0;2,17;2,6;3,255;4,015;4,625;5,015;5,2;4,8;4,375;4,28;4,23;4,24;4,415;4,515;4,855;5,205;5,63;5,82;5,795;5,695;5,37;5,075;4,925;4,9;4,975;5,125;5,445;5,745;6,195;6,415;6,365;6,14;5,49;5,215;4,99;4,99;5,04;5,24;5,465;5,89;6,265;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/07/2020;0;0;0;0;0;0;0;2,175;2,525;3,2;3,975;4,575;4,975;5,165;4,765;4,35;4,225;4,2;4,215;4,39;4,49;4,82;5,175;5,61;5,765;5,765;5,69;5,285;4,975;4,825;4,805;4,9;5,05;5,37;5,665;6,11;6,355;6,305;6,085;5,44;5,17;4,945;4,945;4,995;5,195;5,415;5,835;6,21;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/07/2020;0;0;0;0;0;0;0;2,17;2,6;3,255;4,015;4,625;5,015;5,2;4,8;4,375;4,28;4,23;4,24;4,415;4,515;4,855;5,205;5,63;5,82;5,795;5,695;5,37;5,075;4,925;4,9;4,975;5,125;5,445;5,745;6,195;6,415;6,365;6,14;5,49;5,215;4,99;4,99;5,04;5,24;5,465;5,89;6,265;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/07/2020;0;0;0;0;0;0;0;2,175;2,525;3,2;3,975;4,575;4,975;5,165;4,765;4,35;4,225;4,2;4,215;4,39;4,49;4,82;5,175;5,61;5,765;5,765;5,69;5,285;4,975;4,825;4,805;4,9;5,05;5,37;5,665;6,11;6,355;6,305;6,085;5,44;5,17;4,945;4,945;4,995;5,195;5,415;5,835;6,21;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/07/2020;0;0;0;0;0;0;0;2,155;2,5;3,14;3,94;4,615;5;5,19;4,79;4,35;4,265;4,24;4,205;4,38;4,48;4,81;5,185;5,61;5,775;5,775;5,7;5,275;4,975;4,825;4,8;4,9;5,05;5,375;5,65;6,1;6,35;6,3;6,075;5,45;5,175;4,95;4,95;5;5,2;5,425;5,825;6,2;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/07/2020;0;0;0;0;0;0;0;2,16;2,475;3,075;3,925;4,565;4,915;5,09;4,725;4,3;4,18;4,13;4,13;4,3;4,4;4,76;5,135;5,555;5,73;5,73;5,63;5,185;4,89;4,74;4,715;4,815;4,99;5,335;5,605;6,05;6,32;6,27;6,05;5,425;5,15;4,93;4,93;4,98;5,175;5,4;5,8;6,17;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/07/2020;0;0;0;0;0;0;0;2,164;2,525;3,075;3,9;4,565;4,89;5,065;4,715;4,35;4,2;4,15;4,14;4,29;4,39;4,785;5,165;5,57;5,78;5,78;5,675;5,22;4,915;4,76;4,735;4,835;5,015;5,45;5,73;6,16;6,355;6,305;6,08;5,45;5,17;4,945;4,945;4,995;5,195;5,425;5,825;6,205;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/07/2020;0;0;0;0;0;0;0;2,164;2,5;3,05;3,825;4,515;4,85;5,025;4,665;4,35;4,17;4,06;4,115;4,26;4,36;4,775;5,14;5,535;5,8;5,8;5,7;5,225;4,925;4,78;4,755;4,85;5,025;5,35;5,625;6,07;6,315;6,265;6,04;5,46;5,185;4,96;4,96;5,01;5,21;5,435;5,84;6,215;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/07/2020;0;0;0;0;0;0;0;2,164;2,505;3,05;3,8;4,5;4,85;5,025;4,665;4,375;4,225;4,05;4,14;4,3;4,415;4,775;5,15;5,525;5,8;5,8;5,7;5,225;4,925;4,775;4,75;4,85;5,025;5,35;5,625;6,075;6,325;6,275;6,05;5,45;5,175;4,95;4,95;5;5,2;5,425;5,85;6,225;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/07/2020;0;0;0;0;0;0;0;2,164;2,505;3,05;3,8;4,5;4,85;5,025;4,665;4,375;4,225;4,05;4,14;4,3;4,415;4,775;5,15;5,525;5,8;5,8;5,7;5,225;4,925;4,775;4,75;4,85;5,025;5,35;5,625;6,075;6,325;6,275;6,05;5,45;5,175;4,95;4,95;5;5,2;5,425;5,85;6,225;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/07/2020;0;0;0;0;0;0;0;2,164;2,505;3,05;3,8;4,5;4,85;5,025;4,665;4,375;4,225;4,05;4,14;4,3;4,415;4,775;5,15;5,525;5,8;5,8;5,7;5,225;4,925;4,775;4,75;4,85;5,025;5,35;5,625;6,075;6,325;6,275;6,05;5,45;5,175;4,95;4,95;5;5,2;5,425;5,85;6,225;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/07/2020;0;0;0;0;0;0;0;2,164;2,45;2,965;3,64;4,365;4,725;4,915;4,55;4,275;4,175;3,835;4,045;4,195;4,315;4,68;5,05;5,42;5,705;5,705;5,605;5,14;4,845;4,695;4,67;4,77;4,94;5,26;5,535;5,975;6,215;6,165;5,945;5,355;5,085;4,865;4,865;4,91;5,11;5,33;5,745;6,115;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/07/2020;0;0;0;0;0;0;0;2,164;2,475;2,99;3,65;4,35;4,725;4,905;4,555;4,275;4,125;4,005;4,08;4,23;4,36;4,675;5,05;5,425;5,725;5,725;5,625;5,175;4,875;4,72;4,695;4,8;4,975;5,275;5,55;6,005;6,225;6,175;5,95;5,35;5,075;4,875;4,875;4,9;5,1;5,325;5,75;6,125;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
22/07/2020;0;0;0;0;0;0;0;2,164;2,5;2,99;3,675;4,35;4,74;4,905;4,56;4,275;4,125;3,97;4,06;4,21;4,335;4,68;5,05;5,42;5,75;5,75;5,65;5,195;4,895;4,745;4,72;4,82;4,995;5,3;5,575;6,025;6,25;6,2;5,975;5,37;5,095;4,895;4,895;4,92;5,12;5,345;5,775;6,15;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
23/07/2020;0;0;0;0;0;0;0;2,164;2,57;3,05;3,725;4,4;4,79;4,965;4,6;4,325;4,16;3,99;4,075;4,225;4,35;4,725;5,1;5,475;5,765;5,765;5,665;5,165;4,865;4,715;4,69;4,79;4,965;5,315;5,59;6,015;6,25;6,2;5,975;5,375;5,1;4,9;4,9;4,925;5,125;5,325;5,775;6,15;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
24/07/2020;0;0;0;0;0;0;0;2,164;2,595;3,09;3,75;4,415;4,775;4,95;4,59;4,325;4,16;3,905;4,065;4,215;4,365;4,725;5,1;5,475;5,73;5,705;5,605;5,18;4,88;4,73;4,705;4,805;4,98;5,33;5,605;6,03;6,25;6,2;5,975;5,375;5,1;4,9;4,9;4,925;5,125;5,325;5,775;6,15;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
25/07/2020;0;0;0;0;0;0;0;2,164;2,595;3,09;3,75;4,415;4,775;4,95;4,59;4,325;4,16;3,905;4,065;4,215;4,365;4,725;5,1;5,475;5,73;5,705;5,605;5,18;4,88;4,73;4,705;4,805;4,98;5,33;5,605;6,03;6,25;6,2;5,975;5,375;5,1;4,9;4,9;4,925;5,125;5,325;5,775;6,15;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/07/2020;0;0;0;0;0;0;0;2,164;2,595;3,09;3,75;4,415;4,775;4,95;4,59;4,325;4,16;3,905;4,065;4,215;4,365;4,725;5,1;5,475;5,73;5,705;5,605;5,18;4,88;4,73;4,705;4,805;4,98;5,33;5,605;6,03;6,25;6,2;5,975;5,375;5,1;4,9;4,9;4,925;5,125;5,325;5,775;6,15;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/07/2020;0;0;0;0;0;0;0;2,164;2,685;3,15;3,75;4,415;4,765;4,94;4,55;4,275;4,075;3,875;4;4,15;4,3;4,65;5,025;5,4;5,69;5,665;5,565;5,145;4,845;4,695;4,67;4,77;4,945;5,295;5,565;5,99;6,165;6,115;5,895;5,3;5,03;4,835;4,835;4,86;5,055;5,25;5,695;6,065;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/07/2020;0;0;0;0;0;0;0;2,164;2,7;3,1;3,74;4,425;4,75;4,95;4,57;4,31;4,11;3,845;4,04;4,19;4,34;4,7;5,085;5,44;5,62;5,595;5,495;5,125;4,83;4,68;4,655;4,755;4,93;5,25;5,52;5,945;6,205;6,155;5,925;5,325;5,05;4,845;4,845;4,87;5,075;5,275;5,725;6,105;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
29/07/2020;0;0;0;0;0;0;0;2,164;2,66;3,2;3,9;4,55;4,875;5,05;4,665;4,35;4,175;3,985;4,09;4,275;4,445;4,745;5,125;5,505;5,71;5,685;5,585;5,205;4,905;4,75;4,725;4,83;5,005;5,335;5,61;6,04;6,23;6,18;5,95;5,35;5,075;4,87;4,87;4,895;5,1;5,3;5,75;6,13;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
30/07/2020;0;0;0;0;0;0;0;2,164;2,615;3,165;3,865;4,45;4,825;4,99;4,575;4,25;4,075;3,94;4,03;4,2;4,37;4,68;5,05;5,42;5,625;5,6;5,505;5,155;4,86;4,715;4,69;4,785;4,96;5,28;5,55;5,97;6,305;6,23;6;5,395;5,12;4,92;4,92;4,945;5,145;5,345;5,8;6,18;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
31/07/2020;0;0;0;0;0;0;0;2,164;2,56;3,175;3,875;4,465;4,84;5;4,59;4,2;4,1;4;4,05;4,225;4,4;4,7;5,075;5,45;5,65;5,625;5,525;5,175;4,875;4,72;4,72;4,825;5;5,3;5,575;6,005;6,33;6,255;6,025;5,425;5,15;4,945;4,945;4,97;5,15;5,375;5,825;6,205;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
